POA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA3169,8604,8465,17075,3384,1938,5322,1334,1690,3020,206,202,405,441,365,812,5360,4197,9559,2818,3851,6670,8.2,8.7,8.5,62.3,49.6,56,57.2,45.2,51.2,589,522,1116,96,122,224,1301,1531,2829,742,732,1473,1266,505,1772,62,71,134,92,149,239,1414,733,2142,7816,7807,15622,1597,1406,3004,5337,5394,10733,3732,3455,7190
POA3170,7880,8147,16027,3551,1998,5550,981,1836,2818,219,222,439,324,274,592,5074,4335,9409,2382,3362,5751,6.4,6.3,6.3,64.4,53.2,58.7,60.3,49.8,55,550,481,1034,122,195,322,1443,1575,3023,694,816,1516,1399,581,1975,33,58,88,101,154,253,1523,795,2319,7738,7917,15656,1102,1101,2204,5479,5672,11148,3001,2993,5996
POA3171,9367,8863,18235,2982,1624,4605,1497,1525,3015,240,203,450,607,464,1073,5332,3821,9146,3440,4475,7915,11.4,12.1,11.7,56.9,43.1,50.2,50.4,37.8,44.3,341,317,660,62,76,143,1191,1123,2314,755,711,1468,992,507,1497,73,79,151,104,112,217,1168,699,1865,8257,8025,16280,1895,1648,3539,5355,5389,10747,4353,3807,8158
POA3172,9289,9642,18929,4038,2291,6326,1296,2219,3517,244,234,480,401,386,784,5973,5136,11109,2860,4039,6901,6.7,7.5,7.1,64.3,53.3,58.7,60,49.2,54.5,267,272,536,118,176,295,1073,1205,2279,783,915,1698,1686,730,2419,57,103,163,127,158,285,1875,992,2869,9377,9682,19064,1228,1192,2419,7009,7287,14297,3255,3207,6465
POA3173,10122,10555,20679,4803,2958,7756,1273,2156,3425,260,312,570,521,479,996,6858,5902,12758,2914,4283,7192,7.6,8.1,7.8,67.8,55.9,61.7,62.6,51.4,56.8,457,452,908,114,183,293,1447,1625,3070,840,947,1790,1591,737,2324,52,102,155,132,179,312,1770,1018,2786,10271,10576,20849,1627,1714,3340,6709,6829,13536,4651,4886,9536
POA3174,15958,15833,31790,6179,3369,9546,2325,2848,5170,464,409,872,888,807,1698,9859,7429,17288,5157,7477,12628,9,10.9,9.8,61.8,46.9,54.4,56.2,41.8,49,667,611,1278,124,213,342,1866,1979,3851,1482,1486,2968,2457,1259,3708,91,197,288,228,300,524,2773,1754,4528,14528,14769,29299,3078,2792,5870,9313,9650,18966,7479,6986,14466
POA3175,22849,20597,43442,8569,3657,12228,2972,3359,6322,659,495,1150,1460,1109,2568,13653,8617,22275,7391,10469,17859,10.7,12.9,11.5,59.8,41.8,51.3,53.4,36.5,45.3,716,680,1392,150,281,429,2093,2387,4479,1858,1895,3756,3573,1759,5331,205,234,435,311,409,721,4092,2399,6492,20380,18972,39352,4637,3785,8417,12221,12290,24510,11470,9262,20734
POA3177,4794,4319,9112,1689,655,2343,603,632,1233,163,80,241,331,237,571,2782,1606,4390,1627,2387,4013,11.9,14.8,13,58,37.2,48.2,51.2,31.7,41.9,91,82,173,21,35,55,276,361,639,325,371,698,829,402,1232,61,55,119,68,94,164,956,553,1512,4285,4041,8318,1046,783,1827,2601,2622,5219,2400,1893,4292
POA3178,13367,14065,27438,7195,3976,11170,1866,4149,6012,326,430,761,478,484,955,9857,9039,18903,3082,4603,7686,4.8,5.4,5.1,73.7,64.3,68.9,70.2,60.8,65.4,719,634,1350,212,348,557,2037,2518,4551,1287,1657,2945,2952,1299,4256,67,135,205,188,322,505,3210,1756,4964,14112,14579,28695,1466,1551,3011,11103,11400,22505,4002,4279,8281
POA3179,2398,2477,4880,1198,643,1835,317,699,1012,68,67,136,110,100,212,1687,1511,3191,621,876,1500,6.5,6.6,6.6,70.4,61,65.4,66,56.9,61.1,124,104,225,38,77,113,346,444,792,228,285,511,537,234,769,21,29,53,41,69,105,593,334,928,2489,2463,4957,297,361,655,1860,1857,3724,861,885,1748
POA3180,2981,3163,6148,1451,780,2232,368,799,1163,76,81,159,125,107,228,2010,1771,3785,858,1268,2121,6.2,6,6,67.4,56,61.6,63.6,52.5,57.8,147,129,272,56,76,139,459,543,1006,266,354,624,699,324,1021,11,44,53,39,66,101,754,428,1179,2984,3129,6117,431,414,838,2139,2239,4378,1150,1179,2324
POA3181,9002,9596,18597,4876,4070,8946,1105,1746,2844,196,262,461,310,291,601,6484,6368,12853,1561,2304,3862,4.8,4.6,4.7,72,66.4,69.1,68.6,63.3,65.9,871,898,1767,260,394,655,2732,3088,5816,729,957,1682,888,491,1380,44,54,96,97,131,227,1026,678,1699,6189,6523,12713,2299,2569,4871,3049,3376,6423,5330,5677,11002
POA3182,10983,10642,21621,5511,4451,9956,1322,2062,3383,257,340,597,472,367,843,7565,7216,14776,1815,1951,3764,6.2,5.1,5.7,68.9,67.8,68.3,64.6,64.4,64.5,1030,1212,2242,268,494,764,2761,3017,5780,962,1079,2042,1285,669,1949,55,78,133,139,173,316,1485,920,2403,6829,6563,13387,2961,3011,5969,3453,3218,6671,6318,6341,12659
POA3183,7598,7970,15567,3988,3082,7066,1152,1955,3105,184,235,422,291,229,517,5608,5507,11111,1357,1817,3177,5.2,4.2,4.7,73.8,69.1,71.4,70.1,66.1,68,744,847,1595,226,401,625,2098,2417,4517,696,866,1562,836,487,1319,43,46,90,74,138,207,955,667,1625,6216,6427,12644,1828,1860,3689,3505,3661,7169,4262,4408,8668
POA3184,6200,7197,13399,3521,3120,6640,807,1606,2409,156,260,415,236,219,452,4712,5203,9917,896,1330,2230,5,4.2,4.6,76,72.3,74,72.3,69.3,70.6,620,803,1421,180,427,613,1801,2311,4110,570,787,1362,787,405,1197,37,55,91,65,109,172,894,567,1463,4844,5374,10216,1525,1829,3359,2581,2849,5433,3616,4257,7875
POA3185,4963,5555,10520,2592,1793,4391,680,1445,2124,116,185,298,159,149,303,3549,3565,7116,1111,1685,2798,4.5,4.2,4.3,71.5,64.2,67.6,68.3,61.6,64.8,483,562,1041,181,342,517,1485,1681,3168,394,569,965,533,280,811,16,42,60,58,104,166,611,420,1033,4608,5079,9688,990,1130,2121,2831,3227,6060,2556,2769,5322
POA3186,8840,10378,19221,4101,2354,6452,1298,2503,3806,215,254,461,234,259,494,5841,5369,11212,2455,4376,6828,4,4.8,4.4,66.1,51.7,58.3,63.5,49.2,55.8,1066,962,2029,254,485,734,2721,2865,5590,763,1074,1843,707,379,1086,26,62,89,124,202,334,857,651,1504,8230,9388,17624,1673,1902,3574,5330,6261,11589,4320,4845,9166
POA3187,5927,6883,12810,2807,1461,4267,814,1862,2671,115,196,309,203,198,400,3935,3715,7656,1704,2786,4494,5.2,5.3,5.2,66.4,54,59.8,63,51.1,56.6,597,526,1119,181,325,509,1618,1797,3412,585,758,1339,648,306,959,21,44,60,80,150,230,747,499,1246,6051,6744,12796,980,1032,2010,4117,4681,8798,2656,2915,5562
POA3188,6849,7625,14468,3269,1914,5177,967,2092,3057,157,207,365,229,219,445,4621,4425,9049,1818,2735,4551,5,4.9,4.9,67.5,58,62.5,64.1,55.3,59.4,680,636,1316,210,352,569,1674,1932,3604,653,892,1543,746,417,1159,39,65,101,87,138,227,873,616,1487,6793,7267,14061,1183,1239,2424,4704,5090,9801,2995,3197,6192
POA3189,2349,2495,4848,1087,666,1745,318,614,932,63,77,137,108,83,194,1572,1437,3014,626,897,1518,6.9,5.8,6.4,66.9,57.6,62.2,62.5,54.4,58,134,144,280,47,84,129,444,537,981,224,303,528,413,171,586,10,26,31,37,46,82,462,241,698,2129,2226,4355,456,499,958,1468,1571,3040,1020,1044,2064
POA3190,3930,4469,8399,2020,1271,3290,490,1189,1681,84,138,225,147,127,274,2734,2733,5470,967,1497,2463,5.4,4.6,5,69.6,61.2,65.1,66,58.1,61.9,239,306,551,91,193,284,831,987,1820,437,565,1001,643,316,963,19,36,59,59,101,159,728,457,1183,3832,4331,8159,647,724,1367,2492,2798,5288,1801,2003,3805
POA3191,3979,4460,8437,1920,1073,2993,554,1193,1753,99,133,232,111,111,224,2678,2520,5198,1065,1716,2783,4.1,4.4,4.3,67.3,56.5,61.6,64.7,53.8,59,429,349,775,133,219,346,1034,1181,2212,373,547,912,469,225,694,18,38,53,36,99,142,535,359,891,3720,4140,7856,705,788,1488,2448,2719,5169,1887,2066,3953
POA3192,8592,9692,18280,4281,2534,6814,1099,2493,3590,217,285,502,325,261,583,5911,5576,11487,2272,3625,5894,5.5,4.7,5.1,68.8,57.5,62.8,65.1,54.8,59.7,530,535,1066,177,384,561,1547,1956,3500,881,1106,1984,1671,708,2376,56,76,136,137,187,322,1860,970,2835,8366,9178,17541,1447,1555,2999,5806,6426,12241,3641,3961,7603
POA3193,7548,8342,15883,3562,1881,5438,1034,2382,3417,184,215,400,198,203,401,4978,4679,9649,2204,3267,5466,4,4.3,4.2,66,56.1,60.8,63.3,53.7,58.3,665,567,1226,226,378,602,1929,2131,4061,812,1006,1819,1013,401,1415,29,67,99,101,212,313,1146,675,1824,7552,8157,15707,1105,1218,2329,5411,5922,11332,3083,3316,6403
POA3194,5168,5694,10861,2546,1638,4185,674,1462,2128,134,154,290,187,191,370,3538,3441,6980,1359,1978,3340,5.3,5.6,5.3,68.5,60.4,64.3,64.9,57.1,60.8,330,325,660,137,263,397,1038,1252,2291,533,647,1177,908,440,1354,38,42,75,79,146,225,1027,626,1652,4719,5167,9886,968,1044,2019,3061,3363,6426,2482,2723,5198
POA3195,13828,14936,28767,7275,4107,11383,1710,4411,6121,369,491,861,484,389,874,9841,9400,19236,3322,4841,8161,4.9,4.1,4.5,71.2,62.9,66.9,67.6,60.3,63.8,772,877,1651,328,582,910,2395,3108,5502,1461,1780,3246,2781,1116,3904,68,158,228,201,347,546,3057,1623,4674,14192,15055,29247,1948,1983,3931,10152,10818,20971,5424,5704,11132
POA3196,9776,11032,20807,4911,2957,7867,1095,2761,3857,279,354,635,357,310,665,6647,6376,13021,2445,3862,6308,5.4,4.9,5.1,68,57.8,62.6,64.3,55,59.4,365,472,838,174,352,524,1240,1943,3179,932,1315,2243,2523,1119,3641,74,120,199,147,237,381,2743,1477,4219,9410,10229,19640,1525,1725,3248,6191,6637,12829,4256,4792,9048
POA3197,4591,5032,9622,2298,1362,3661,553,1294,1842,141,172,312,150,139,287,3141,2959,6099,1157,1739,2902,4.8,4.7,4.7,68.4,58.8,63.4,65.2,56.2,60.4,153,167,317,70,135,202,535,791,1326,413,597,1008,1246,522,1767,27,63,86,80,115,190,1354,694,2045,4357,4696,9054,692,742,1437,3019,3252,6276,1874,2035,3910
POA3198,6680,7053,13738,3077,1767,4844,724,1636,2361,182,250,434,292,289,579,4271,3942,8212,1879,2587,4466,6.8,7.3,7.1,63.9,55.9,59.8,59.6,51.8,55.6,134,196,331,93,181,273,588,932,1524,545,873,1414,1898,867,2772,39,97,137,110,164,275,2047,1138,3183,6280,6340,12622,928,1071,1998,4220,4169,8396,2670,2966,5637
POA3199,21375,23550,44925,9408,5146,14552,2691,5884,8572,562,734,1289,958,884,1841,13608,12650,26251,6312,9321,15630,7,7,7,63.7,53.7,58.4,59.2,50,54.3,592,643,1238,336,659,994,2105,3254,5359,1972,2808,4785,5572,2818,8393,170,329,504,359,564,922,6106,3712,9823,19961,21393,41356,3634,3888,7522,13256,14166,27420,9350,10265,19623
POA3200,2293,2398,4697,743,359,1102,222,388,603,68,58,123,139,138,278,1173,938,2106,874,1216,2088,11.8,14.7,13.2,51.2,39.1,44.8,45.1,33.6,38.9,28,20,52,12,19,35,104,110,211,127,180,313,532,339,868,26,42,68,34,61,90,589,443,1028,2075,2169,4252,364,341,711,1385,1416,2801,921,952,1870
POA3201,7999,8537,16537,4179,2290,6461,889,2101,2983,235,287,521,343,347,689,5642,5020,10662,1800,2888,4686,6.1,6.9,6.5,70.5,58.8,64.5,66.3,54.8,60.3,112,168,273,54,135,192,502,782,1286,612,933,1544,2286,1225,3513,72,161,229,121,207,326,2480,1592,4071,7989,8268,16257,1155,1253,2404,5204,5322,10527,3470,3730,7202
POA3202,1106,1138,2247,562,308,872,136,347,482,29,38,67,44,38,81,770,728,1494,271,319,589,5.7,5.2,5.4,69.6,64,66.5,65.7,60.9,63.2,57,73,128,18,43,58,197,240,438,101,114,215,178,96,274,8,9,15,20,25,45,209,126,331,1133,1130,2261,196,185,376,735,759,1493,533,496,1032
POA3204,11793,12796,24589,5795,3378,9180,1733,3613,5347,244,357,605,527,459,989,8303,7814,16113,2948,4437,7387,6.3,5.9,6.1,70.4,61.1,65.5,65.9,57.4,61.5,1214,1187,2404,344,590,938,2926,3261,6192,1090,1440,2534,1472,729,2197,30,86,118,131,248,381,1634,1063,2697,11501,12306,23803,2315,2362,4681,7758,8293,16058,5598,5906,11505
POA3205,4665,4985,9654,2356,1819,4178,489,889,1375,82,133,219,200,172,373,3129,3014,6140,1050,1502,2554,6.4,5.7,6.1,67.1,60.5,63.6,62.7,57,59.8,575,580,1156,144,227,369,1378,1473,2846,371,480,849,411,215,625,12,32,48,56,79,139,478,328,805,3563,3793,7358,1050,1093,2139,1805,2062,3862,2685,2722,5406
POA3206,4160,4397,8555,2038,1425,3461,501,959,1457,95,119,212,102,112,215,2738,2611,5351,1106,1495,2600,3.7,4.3,4,65.8,59.4,62.5,63.3,56.9,60,546,541,1088,120,230,345,1235,1368,2606,316,403,714,318,135,452,22,15,42,47,74,126,380,232,610,3799,3995,7796,748,781,1530,2413,2535,4949,1985,2114,4095
POA3207,6587,7385,13974,3606,2832,6442,725,1382,2101,157,242,398,175,198,372,4660,4650,9315,1357,2067,3423,3.8,4.3,4,70.7,63,66.7,68.1,60.3,64,662,738,1399,193,363,558,1715,1998,3712,608,760,1374,823,416,1242,43,47,83,94,119,213,958,584,1542,5355,5833,11186,1442,1558,3001,2976,3359,6336,3613,3832,7444
POA3211,548,524,1074,257,119,380,67,137,203,24,20,45,19,15,34,364,292,654,130,184,314,5.2,5.1,5.2,66.4,55.7,60.9,63.5,52.7,58.5,15,17,25,3,9,16,39,40,77,41,56,102,169,77,238,0,9,7,10,11,18,175,91,271,539,513,1050,60,56,117,429,402,838,149,142,292
POA3212,6979,6352,13332,3164,1538,4695,687,1862,2548,183,244,429,210,177,383,4241,3815,8064,2478,2251,4731,5,4.6,4.7,60.8,60.1,60.5,57.8,57.4,57.5,109,126,237,57,146,202,485,787,1276,544,718,1259,1787,916,2702,42,95,138,101,125,223,1933,1131,3065,6127,6289,12410,962,1072,2036,4063,4111,8175,2693,2950,5643
POA3213,1600,1604,3200,774,372,1147,206,514,718,74,52,131,56,44,101,1107,988,2091,398,546,945,5.1,4.5,4.8,69.2,61.6,65.3,65.9,58.5,62.4,32,36,71,20,23,44,119,202,316,137,166,304,477,219,701,11,20,29,12,30,43,507,271,773,1698,1704,3407,160,174,337,1203,1214,2419,579,595,1180
POA3214,9288,10042,19325,2903,1375,4286,917,1883,2797,270,280,545,703,553,1256,4793,4096,8887,3677,5109,8785,14.7,13.5,14.1,51.6,40.8,46,44,35.2,39.5,81,77,161,32,82,111,289,481,772,400,609,1015,1934,1336,3266,116,198,311,121,207,328,2169,1737,3900,8778,9225,18001,1604,1705,3303,6084,6280,12361,3755,4139,7898
POA3215,8176,9098,17277,3426,1875,5307,964,2226,3188,224,269,492,372,277,649,4981,4651,9635,2622,3751,6371,7.5,6,6.7,60.9,51.1,55.8,56.4,48,52,178,199,370,102,209,312,776,1104,1878,613,877,1492,2081,1080,3159,65,133,197,133,176,309,2278,1392,3664,7621,8257,15881,1319,1446,2765,5398,5774,11174,3168,3536,6712
POA3216,21909,24247,46155,9628,5011,14640,3205,7111,10314,623,833,1457,864,787,1653,14325,13738,28062,6537,9332,15869,6,5.7,5.9,65.4,56.7,60.8,61.4,53.4,57.2,1119,912,2025,433,804,1237,3209,4317,7523,2068,2733,4800,5249,2652,7903,170,288,454,288,475,763,5710,3414,9122,20737,22329,43067,4202,4408,8617,13516,14799,28319,10456,11110,21566
POA3217,2477,2533,5013,1470,748,2222,301,798,1102,71,138,206,70,62,132,1922,1749,3671,376,598,969,3.6,3.5,3.6,77.6,69,73.2,74.4,66.5,70.4,79,91,171,25,105,130,344,497,844,277,347,624,757,354,1104,20,34,53,38,42,82,817,427,1243,1975,1969,3943,994,1010,2002,559,553,1111,2132,2194,4331
POA3218,5213,5834,11051,2561,1471,4028,718,1713,2431,152,232,385,238,193,433,3667,3610,7278,1249,1874,3128,6.5,5.3,5.9,70.3,61.9,65.9,65.8,58.6,61.9,229,299,532,121,262,377,874,1192,2068,435,702,1138,1171,619,1786,38,63,100,71,93,164,1283,773,2049,4825,5272,10100,1013,1153,2167,3128,3543,6673,2419,2609,5030
POA3219,7718,8898,16619,3093,1717,4818,993,2195,3186,228,271,494,353,297,652,4668,4481,9147,2528,3854,6382,7.6,6.6,7.1,60.5,50.4,55,55.9,47,51.1,148,180,326,87,199,286,602,1000,1599,505,843,1347,2047,1215,3266,68,129,197,108,172,278,2223,1514,3736,7335,8070,15405,1117,1320,2437,5220,5791,11015,2872,3329,6209
POA3220,6509,7170,13670,2929,1794,4726,972,1999,2968,183,233,411,235,194,427,4317,4221,8537,1748,2478,4227,5.4,4.6,5,66.3,58.9,62.5,62.7,56.2,59.3,446,437,883,173,357,531,1350,1682,3032,584,807,1398,1181,570,1755,40,55,93,87,116,203,1309,747,2056,5747,6083,11831,1332,1519,2852,3796,4050,7845,3096,3385,6475
POA3221,303,280,585,150,51,206,46,108,147,7,6,16,8,6,8,213,173,384,70,90,164,3.8,3.5,2.1,70.3,61.8,65.6,67,58.9,63.1,17,14,33,9,20,25,48,87,138,30,32,57,79,25,108,0,4,4,6,0,6,86,30,113,292,291,585,46,42,90,238,226,458,91,96,188
POA3222,5795,6460,12262,2360,1171,3532,722,1792,2517,173,177,350,195,173,370,3459,3316,6772,2013,2797,4812,5.6,5.2,5.5,59.7,51.3,55.2,56.2,48.6,52.2,143,135,280,90,182,274,517,805,1326,509,743,1250,1724,881,2605,48,98,146,85,170,259,1866,1144,3008,5664,6041,11702,933,1065,1996,3733,4063,7796,2570,2876,5447
POA3223,3140,3358,6503,794,427,1223,350,634,987,81,83,166,119,101,216,1342,1251,2591,1534,1835,3370,8.9,8.1,8.3,42.7,37.3,39.8,39,34.1,36.5,67,82,152,44,83,130,258,355,614,249,359,607,885,330,1213,23,53,77,43,96,144,952,474,1432,2748,2900,5648,488,521,1011,1833,1874,3705,1326,1464,2787
POA3224,5512,5977,11490,2464,1237,3700,655,1757,2414,169,224,387,203,170,375,3493,3386,6879,1717,2288,4002,5.8,5,5.5,63.4,56.7,59.9,59.7,53.8,56.6,93,110,206,58,114,173,377,716,1094,492,717,1208,1746,924,2669,44,78,120,93,143,235,1880,1138,3021,5438,5770,11204,835,932,1764,3432,3520,6948,2546,2908,5451
POA3225,1621,1926,3543,465,255,725,232,399,636,41,53,95,27,30,52,768,740,1512,724,1048,1774,3.5,4.1,3.4,47.4,38.4,42.7,45.5,36.7,41.1,114,98,209,42,103,145,306,429,729,194,267,458,280,96,376,9,19,30,32,43,75,319,154,475,1457,1706,3162,225,260,483,1053,1228,2284,611,706,1322
POA3226,5299,5958,11260,2389,1228,3612,765,1866,2632,159,202,358,161,142,300,3468,3436,6908,1600,2268,3871,4.6,4.1,4.3,65.4,57.7,61.3,62.5,55.3,58.6,211,230,446,154,316,472,792,1182,1973,539,797,1333,1458,613,2076,30,52,80,75,129,207,1563,805,2366,5269,5690,10957,994,1102,2096,3416,3636,7057,2620,2958,5577
POA3227,1821,1910,3729,759,354,1116,306,608,916,57,65,125,48,43,88,1173,1074,2245,496,727,1219,4.1,4,3.9,64.4,56.2,60.2,61.6,53.8,57.8,115,122,238,55,121,177,338,446,791,179,254,441,410,160,572,10,21,28,24,33,56,446,213,660,1837,1859,3695,309,346,656,1185,1205,2390,865,937,1803
POA3228,6694,7143,13836,3281,1621,4904,926,2342,3268,214,261,477,189,187,372,4609,4421,9022,1745,2383,4131,4.1,4.2,4.1,68.9,61.9,65.2,66,59.1,62.5,340,376,712,173,333,510,1279,1642,2920,705,968,1673,1599,629,2229,33,78,113,83,148,232,1712,859,2571,6603,6912,13517,1461,1487,2948,3979,4127,8113,3700,3946,7645
POA3230,1046,1111,2160,398,210,607,147,313,465,29,46,78,18,10,32,596,588,1188,380,468,851,3,1.7,2.7,57,52.9,55,54.9,51.2,53.2,53,57,112,22,60,80,198,250,445,110,146,254,261,78,342,10,17,19,20,24,41,284,119,407,967,1004,1971,187,173,357,686,691,1382,418,461,876
POA3231,536,546,1077,174,91,260,109,169,276,14,14,25,5,12,18,300,285,580,200,218,420,1.7,4.2,3.1,56,52.2,53.9,55.4,50.2,52.1,23,39,60,16,22,34,106,132,238,62,77,145,127,37,159,3,4,10,17,12,27,144,52,196,490,487,974,80,82,163,368,373,746,195,181,376
POA3232,464,503,968,178,88,262,74,132,207,15,20,37,13,7,20,278,244,523,138,199,335,4.7,2.9,3.8,59.9,48.5,54,57.5,47.7,52.3,15,20,36,12,15,26,79,89,167,37,52,93,101,48,144,6,6,9,6,9,14,111,58,171,406,403,807,56,79,138,272,299,571,183,178,354
POA3233,880,890,1771,252,150,406,182,245,434,34,41,78,20,12,31,496,445,946,288,366,658,4,2.7,3.3,56.4,50,53.4,53.2,49,51.8,21,26,52,18,35,50,80,140,218,68,127,190,246,77,322,5,6,16,15,23,38,271,107,376,761,788,1542,130,137,272,526,538,1065,335,345,681
POA3234,81,72,156,27,19,43,19,23,34,8,7,10,4,0,4,58,45,96,13,21,41,6.9,0,4.2,71.6,62.5,61.5,66.7,68.1,55.8,3,3,7,0,3,4,12,20,29,6,3,12,24,3,23,0,0,0,0,0,0,26,3,30,63,59,120,24,20,44,47,44,89,28,32,64
POA3235,163,149,313,78,34,106,25,57,82,9,8,12,3,3,4,112,99,214,35,38,75,2.7,3,1.9,68.7,66.4,68.4,68.7,66.4,63.9,4,10,14,3,9,7,20,15,40,22,33,48,46,16,57,3,0,4,0,4,5,44,19,68,166,154,312,15,16,34,136,122,257,40,40,81
POA3236,90,112,205,33,17,49,15,35,49,8,6,11,3,3,9,57,58,115,24,40,68,5.3,5.2,7.8,63.3,51.8,56.1,62.2,51.8,53.2,5,5,14,0,0,6,10,13,24,9,13,24,21,8,33,0,0,0,3,0,4,23,16,41,85,96,177,10,10,20,60,79,133,33,28,59
POA3237,103,83,191,37,20,59,20,31,50,4,4,5,5,0,8,70,58,123,29,23,52,7.1,0,6.5,68,69.9,64.4,59.2,66.3,59.7,3,3,8,0,3,4,8,13,22,9,13,13,39,14,50,0,0,0,3,4,4,40,20,58,99,80,177,15,11,25,70,57,130,36,24,64
POA3238,100,85,190,35,23,58,20,28,48,3,0,5,3,0,5,63,57,116,29,23,51,4.8,0,4.3,63,67.1,61.1,58,60,58.4,4,5,6,0,6,3,23,17,43,0,16,17,20,10,24,3,3,3,0,0,0,20,13,35,101,81,179,3,7,11,65,62,125,38,29,61
POA3239,180,179,360,71,40,111,23,42,62,9,8,20,8,3,15,112,94,206,55,61,117,7.1,3.2,7.3,62.2,52.5,57.2,57.2,50.3,53.6,0,3,4,0,0,3,17,28,45,19,22,39,45,23,69,4,3,7,3,0,3,47,27,75,178,156,333,20,26,41,141,130,272,48,51,96
POA3240,824,770,1597,426,168,596,135,282,413,29,35,70,9,16,28,607,500,1108,184,234,417,1.5,3.2,2.5,73.7,64.9,69.4,71.6,63,67.6,34,28,56,12,21,36,87,132,222,78,96,170,241,103,349,5,7,11,13,26,42,259,137,397,879,849,1735,87,83,170,675,625,1302,255,260,514
POA3241,1035,1083,2122,421,190,607,146,282,430,36,36,74,28,24,56,634,538,1164,326,462,784,4.4,4.5,4.8,61.3,49.7,54.9,58.3,46.9,52.4,16,20,35,4,18,22,61,143,200,80,95,178,292,138,434,12,19,25,10,25,34,316,183,496,1023,1024,2048,120,137,252,746,731,1475,340,386,724
POA3242,347,323,667,148,73,223,46,100,144,13,14,25,7,5,12,215,190,404,100,109,215,3.3,2.6,3,62,58.8,60.6,59.7,57.9,58.8,6,10,18,8,14,18,39,52,87,33,41,71,87,48,130,3,4,7,7,3,12,96,50,147,344,307,649,42,45,94,238,222,465,128,113,241
POA3243,162,130,293,85,34,118,30,47,73,5,4,12,3,4,3,121,85,208,25,37,64,2.5,4.7,1.4,74.7,65.4,71,74.1,65.4,69.3,0,7,8,0,4,3,15,20,36,14,22,37,34,8,47,0,0,3,4,6,8,38,14,57,169,137,307,15,18,32,143,113,251,44,36,78
POA3249,1325,1255,2577,628,285,912,172,397,567,56,52,106,30,26,54,884,762,1645,338,405,747,3.4,3.4,3.3,66.7,60.7,63.8,64.6,58.5,61.5,14,30,50,11,31,36,81,151,231,87,142,231,363,154,522,15,22,36,20,31,51,396,207,606,1389,1299,2687,142,126,270,1079,971,2055,377,393,770
POA3250,4817,5219,10034,2017,962,2974,623,1378,2005,159,170,334,141,102,243,2944,2612,5554,1533,2253,3782,4.8,3.9,4.4,61.1,50,55.4,58.1,48.1,52.9,47,63,113,44,72,121,239,445,685,260,474,737,1265,682,1953,46,75,118,77,114,186,1385,872,2257,4669,4879,9549,758,819,1576,3293,3480,6776,1850,1930,3776
