POA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA3704,0,0,0,0,3,0,0,22,0,20
POA3705,0,3,3,36,16,0,50,140,26,206
POA3707,68,23,90,240,105,12,349,1005,183,1541
POA3708,3,0,3,3,5,0,9,37,4,52
POA3709,6,3,8,24,21,3,46,189,27,264
POA3711,7,0,9,59,25,4,86,287,43,421
POA3712,9,3,7,23,22,4,47,227,41,312
POA3713,44,9,53,85,40,0,125,669,133,933
POA3714,118,21,140,474,221,23,720,1954,324,2994
POA3715,4,0,3,36,17,0,57,173,35,266
POA3717,54,15,64,333,205,12,556,1421,245,2219
POA3718,5,0,6,3,10,3,11,46,6,70
POA3719,4,0,4,39,24,3,65,225,29,330
POA3720,3,4,9,63,26,6,90,326,72,487
POA3722,142,21,171,773,336,43,1152,2529,375,4049
POA3723,20,10,29,350,139,21,506,1680,331,2520
POA3725,9,3,11,82,46,6,129,322,62,517
POA3726,10,0,10,48,14,0,68,228,37,339
POA3727,3,0,3,43,16,4,58,164,42,265
POA3728,9,3,12,75,40,0,123,346,68,534
POA3730,282,98,383,1173,557,60,1787,4590,945,7318
POA3732,13,3,12,87,36,3,124,320,44,486
POA3733,0,0,0,29,5,0,38,120,22,175
POA3735,11,5,20,92,45,3,137,320,47,510
POA3737,137,36,177,533,254,22,813,2500,354,3666
POA3738,0,0,0,27,16,3,41,118,21,183
POA3739,0,0,0,25,10,3,37,114,21,172
POA3740,13,5,13,166,45,3,217,581,88,884
POA3741,84,26,108,363,150,36,551,1726,355,2634
POA3744,4,0,7,86,21,8,112,226,26,367
POA3746,3,3,8,53,30,0,84,217,34,338
POA3747,93,21,120,626,286,29,937,2410,530,3877
POA3749,64,5,71,290,121,23,428,1024,92,1545
POA3750,14,4,20,2215,350,38,2606,3418,565,6585
POA3751,0,0,6,30,20,0,52,157,36,236
POA3752,296,16,323,5173,1048,121,6343,11075,890,18311
POA3753,3,0,3,523,113,15,649,913,148,1701
POA3754,82,16,109,9421,1987,326,11735,13821,1568,27121
POA3755,3,0,3,36,22,0,53,156,12,218
POA3756,54,9,62,2341,640,71,3050,5168,917,9136
POA3757,150,18,169,1583,591,63,2244,4201,652,7098
POA3758,10,0,8,406,164,21,587,998,124,1710
POA3759,11,0,16,156,75,7,242,564,77,882
POA3760,0,0,0,60,18,9,83,205,27,307
POA3761,8,0,8,195,99,9,304,592,103,994
POA3762,5,0,8,15,8,0,22,73,26,120
POA3763,4,0,6,250,84,12,343,794,111,1247
POA3764,153,27,175,1551,530,52,2137,4485,676,7301
POA3765,206,36,244,1151,519,69,1739,3432,324,5495
POA3766,8,0,11,233,91,10,332,610,51,992
POA3767,26,7,29,181,102,17,297,668,67,1033
POA3770,28,7,35,549,247,29,826,1594,182,2601
POA3775,37,3,39,641,266,31,936,1905,268,3118
POA3777,215,29,249,1656,742,89,2492,5508,790,8785
POA3778,0,0,0,29,12,0,43,110,15,170
POA3779,3,3,3,39,33,0,74,242,38,351
POA3781,25,6,30,858,279,51,1189,1965,312,3463
POA3782,106,21,131,1352,545,69,1970,3970,405,6344
POA3783,22,3,24,450,135,14,606,1094,151,1852
POA3785,0,0,0,11,6,0,17,37,11,65
POA3786,14,0,18,243,81,17,334,803,104,1250
POA3787,13,0,14,178,67,6,249,546,69,864
POA3788,15,0,16,284,138,16,446,894,81,1424
POA3789,4,0,4,34,32,4,67,144,11,229
POA3791,5,0,4,244,100,19,363,735,74,1172
POA3792,9,0,9,190,91,12,291,502,61,853
POA3793,58,7,67,625,258,36,921,1767,169,2850
POA3795,24,3,34,212,73,16,298,644,72,1017
POA3796,75,16,95,1749,723,102,2569,4724,453,7752
POA3797,80,14,90,561,209,25,796,1776,292,2867
POA3799,81,13,98,872,387,53,1312,2966,473,4753
POA3800,0,0,0,7,42,0,48,2022,140,2204
POA3802,267,34,303,3816,1386,92,5304,13374,1168,19853
POA3803,196,15,213,1665,576,43,2286,5894,558,8735
POA3804,154,12,168,1235,514,33,1784,4444,416,6644
POA3805,405,47,457,10754,2929,336,14012,27647,2437,44099
POA3806,703,107,815,9806,2783,337,12921,22800,1889,37615
POA3807,34,12,51,1358,403,46,1804,3505,290,5604
POA3808,37,0,38,588,210,20,820,1411,154,2384
POA3809,15,5,16,1631,381,41,2049,3172,281,5502
POA3810,513,104,630,9816,2602,450,12866,20417,2627,35914
POA3812,28,6,33,351,169,12,539,1228,125,1898
POA3813,7,0,8,124,60,9,190,456,81,727
POA3814,20,8,29,383,156,19,563,1046,166,1773
POA3815,51,6,61,509,201,25,739,1448,212,2392
POA3816,25,3,29,476,184,14,673,1266,199,2135
POA3818,304,53,366,2260,962,138,3356,6944,1037,11348
POA3820,297,120,424,2476,1124,108,3714,8250,1076,13037
POA3821,25,5,31,497,198,24,713,1402,219,2336
POA3822,9,0,11,161,66,4,227,471,67,770
POA3823,15,3,20,272,180,14,465,926,132,1524
POA3824,105,33,145,773,367,55,1196,2417,404,4016
POA3825,487,98,592,2832,1401,140,4370,10844,1678,16893
POA3831,28,10,46,240,104,15,362,903,147,1408
POA3832,4,3,3,21,19,3,47,131,37,216
POA3833,5,0,4,36,24,3,56,179,31,272
POA3835,5,0,6,75,36,3,109,241,26,379
POA3840,395,72,465,2034,1024,102,3160,8881,1621,13660
POA3842,41,4,48,636,329,50,1012,2494,438,3946
POA3844,437,190,639,4799,1938,221,6954,14045,2322,23326
POA3847,25,4,24,347,137,11,493,1124,174,1794
POA3850,375,70,455,2306,920,141,3372,7413,1162,11951
POA3851,43,17,60,667,297,35,990,2598,1281,4869
POA3852,0,0,0,4,4,0,7,73,6,83
POA3854,6,0,7,267,97,13,379,660,53,1088
POA3856,3,0,3,186,73,9,265,449,56,768
POA3857,4,0,4,54,43,0,99,190,21,304
POA3858,81,8,91,463,191,29,677,1534,238,2450
POA3859,10,0,9,125,50,7,174,445,58,677
POA3860,138,26,167,1065,503,42,1610,3700,531,5837
POA3862,33,8,38,491,229,19,746,1562,249,2554
POA3864,3,0,3,29,10,0,39,124,13,178
POA3865,4,4,7,62,27,3,92,242,38,367
POA3869,13,3,21,253,133,21,404,823,92,1325
POA3870,15,11,19,159,98,14,271,699,95,1068
POA3871,55,13,64,444,199,19,666,1476,244,2384
POA3873,0,0,0,55,37,6,93,144,28,266
POA3874,11,0,10,60,34,3,99,356,35,494
POA3875,430,165,597,2596,1106,112,3813,9639,1854,15311
POA3878,22,5,28,134,60,5,199,682,76,961
POA3880,152,45,205,383,214,14,614,2600,384,3595
POA3882,12,4,19,159,71,9,231,614,81,925
POA3885,12,10,20,285,110,13,409,993,140,1545
POA3886,0,0,0,57,28,6,84,197,27,306
POA3887,3,0,3,36,23,0,62,210,33,298
POA3888,97,22,117,423,215,17,655,1855,348,2850
POA3889,3,0,3,18,0,0,14,118,25,160
POA3890,0,0,0,41,9,0,48,184,40,274
POA3891,5,0,3,4,6,0,5,84,10,104
POA3892,27,10,39,122,52,0,177,674,80,936
POA3893,0,0,0,4,0,0,4,12,0,16
POA3895,5,0,7,21,3,0,22,131,15,163
POA3896,7,0,6,53,28,0,85,201,51,331
POA3898,7,0,7,99,33,5,132,387,117,639
POA3900,3,0,3,17,8,0,22,93,12,128
POA3902,3,0,4,59,17,3,84,240,26,352
POA3903,7,3,12,95,38,10,142,412,77,634
POA3904,21,4,26,142,91,8,237,904,116,1259
POA3909,160,106,270,960,485,41,1486,4374,869,6726
POA3910,172,32,214,4143,1605,208,5956,11148,1077,18173
POA3911,24,6,34,557,235,19,811,1792,224,2823
POA3912,244,52,305,2548,1137,129,3815,7668,834,12317
POA3913,32,6,38,559,292,29,888,1708,157,2750
POA3915,155,44,199,1573,642,56,2278,4989,809,8076
POA3916,50,6,60,127,83,3,206,526,90,825
POA3918,39,9,47,673,278,27,974,1767,234,2972
POA3919,17,5,18,548,243,29,819,1533,178,2536
POA3920,0,0,0,85,9,3,103,841,28,968
POA3921,0,0,0,14,11,0,29,58,10,96
POA3922,272,58,341,1059,542,58,1661,4206,634,6505
POA3923,5,7,12,56,37,0,94,330,27,456
POA3925,74,10,89,576,213,28,817,1744,224,2781
POA3926,57,18,75,530,305,25,858,1560,265,2683
POA3927,41,3,45,245,132,21,394,872,138,1395
POA3928,3,0,6,53,34,0,86,248,27,352
POA3929,22,3,26,116,81,7,201,523,62,790
POA3930,383,52,443,3388,1285,142,4814,8507,790,14109
POA3931,873,112,998,3600,1860,172,5628,13023,1508,20165
POA3933,13,3,13,156,77,4,238,574,109,923
POA3934,465,64,535,3620,1262,167,5053,8662,866,14578
POA3936,246,126,374,1497,862,82,2443,6194,795,9434
POA3937,30,5,32,250,105,10,361,780,121,1262
POA3938,72,14,86,359,276,12,641,1607,183,2431
POA3939,493,138,638,1970,1040,82,3094,8030,1181,12306
POA3940,498,147,642,527,226,15,771,3022,542,4335
POA3941,227,75,307,1903,797,78,2779,6280,988,10049
POA3942,63,25,85,231,214,9,452,1349,251,2054
POA3943,70,12,85,119,211,3,334,985,161,1481
POA3944,16,4,26,23,89,0,114,328,42,481
POA3945,13,0,10,144,81,0,223,529,59,813
POA3946,11,0,11,17,15,5,42,120,18,176
POA3950,160,26,192,699,307,26,1035,2519,356,3912
POA3951,9,0,11,159,82,3,245,482,79,810
POA3953,194,37,237,1243,538,51,1834,3843,601,6277
POA3954,3,0,3,57,38,0,100,211,27,333
POA3956,29,10,43,344,174,21,542,1440,415,2398
POA3957,0,0,0,61,18,0,77,123,13,219
POA3958,0,0,3,49,20,0,62,135,25,227
POA3959,16,4,29,155,80,14,247,584,93,927
POA3960,119,18,143,273,152,19,445,1494,204,2139
POA3962,19,8,19,108,85,13,200,512,83,792
POA3964,0,0,0,17,11,0,27,81,7,117
POA3965,3,3,9,11,12,3,21,141,33,194
POA3966,4,0,6,60,34,0,98,317,29,442
POA3967,3,3,3,17,16,0,32,59,11,109
POA3971,107,47,152,478,241,17,735,2325,390,3453
POA3975,153,3,163,3506,620,83,4211,6194,729,11138
POA3976,139,23,166,4466,1073,94,5631,12431,1709,19773
POA3977,680,205,901,19175,4679,673,24529,41014,5075,70623
POA3978,27,6,34,2433,495,78,3006,4328,503,7842
POA3979,3,0,3,56,19,0,80,143,22,241
POA3980,22,3,31,595,203,27,828,1566,261,2646
POA3981,80,20,105,855,272,29,1155,2304,430,3886
POA3984,68,27,95,692,353,25,1074,2893,426,4395
POA3987,13,0,13,269,101,15,384,706,100,1189
POA3988,17,3,22,141,77,8,221,516,69,814
POA3990,0,0,0,6,11,0,21,68,10,97
POA3991,3,0,3,38,19,5,59,224,30,314
POA3992,4,3,9,161,81,5,239,484,62,783
POA3995,283,103,391,1424,622,70,2120,5368,1001,8486
POA3996,186,39,227,764,418,47,1236,2965,420,4619
