POA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
POA3064,113,194,156,111,152,58,24,799,11,6,10,5,4,9,0,42,4,7,8,4,6,9,0,45,222,364,304,223,345,148,75,1678,16,19,16,12,16,11,8,108,32,42,27,19,27,9,3,162,53,69,42,33,36,24,9,265,273,426,349,258,384,175,81,1940,472,426,238,161,203,107,46,1653,5,11,3,3,3,0,0,25,755,866,586,422,584,283,133,3618
POA3065,3,13,5,8,8,5,4,54,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,4,12,28,14,20,18,10,7,111,4,3,0,3,8,3,0,19,8,17,4,7,8,4,0,48,13,19,5,12,10,5,0,63,22,44,20,25,30,19,8,177,78,61,26,23,12,19,8,225,0,0,0,0,0,0,0,3,107,109,47,49,46,32,23,407
POA3066,10,18,7,9,3,3,0,48,0,3,0,0,0,0,0,6,0,0,0,0,3,0,0,5,16,29,17,12,12,11,8,111,5,6,3,4,10,0,0,26,0,3,0,0,9,0,0,14,6,8,7,5,14,0,0,40,23,40,16,17,27,11,13,150,77,77,45,27,29,10,12,277,8,0,3,3,0,0,0,17,107,120,68,43,57,25,25,440
POA3067,6,6,0,5,3,5,0,25,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,12,15,13,11,9,12,6,73,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,4,18,15,10,11,6,17,6,81,5,4,0,3,11,3,0,22,0,0,0,0,0,0,0,0,23,16,14,13,18,19,6,101
POA3068,21,30,23,6,21,15,8,125,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,32,55,43,27,54,34,24,272,3,0,7,0,0,0,0,13,0,6,3,0,7,0,0,18,0,6,9,0,6,0,0,26,36,63,51,34,56,37,23,304,35,40,12,14,18,14,6,139,0,0,0,0,0,0,0,4,73,105,65,46,80,50,30,445
POA3070,32,47,35,29,23,13,12,187,3,0,0,0,4,0,3,18,0,4,0,0,0,0,0,3,47,104,80,55,65,44,25,422,0,4,4,3,4,0,0,21,0,8,3,0,3,0,0,20,4,6,10,5,6,0,3,37,54,109,85,61,69,47,32,457,21,31,25,11,13,13,3,125,0,0,0,0,0,0,0,0,69,140,110,77,86,55,37,574
POA3071,28,40,26,20,31,16,0,150,6,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,47,69,47,46,66,39,11,322,0,3,0,3,3,0,3,17,0,4,3,3,0,0,0,7,0,7,4,7,4,0,3,24,52,77,54,47,67,39,20,344,36,32,16,21,16,7,7,140,0,0,0,0,0,0,0,4,86,108,65,64,88,43,29,487
POA3072,43,81,55,30,43,31,23,307,6,5,3,3,0,4,0,15,0,0,3,3,0,0,0,11,67,140,99,67,97,74,44,590,0,3,3,0,0,0,0,16,7,4,4,7,3,0,0,25,9,10,10,8,7,0,3,39,80,147,107,76,104,81,44,629,83,81,37,34,37,25,21,324,0,0,0,0,0,0,0,0,163,228,147,105,137,104,68,961
POA3073,65,121,99,56,88,47,17,484,6,7,3,0,0,0,3,22,0,3,0,0,0,0,0,5,127,194,172,101,173,87,56,904,7,20,19,10,9,5,3,79,6,20,6,11,9,5,3,70,13,41,25,23,17,18,5,148,137,237,195,118,190,99,63,1055,216,198,108,88,102,57,32,793,8,4,5,5,0,0,0,23,362,438,313,211,295,156,93,1863
POA3074,33,64,33,45,38,15,8,240,3,3,0,0,0,0,0,9,0,0,3,0,0,0,0,6,54,93,61,68,70,42,31,427,7,3,3,9,4,3,0,32,3,7,6,10,3,0,0,35,8,17,13,13,10,3,3,67,60,105,77,82,78,46,32,491,120,110,81,68,37,26,26,465,3,4,4,5,3,0,0,22,186,219,155,157,119,75,55,974
POA3075,21,52,38,34,46,16,11,216,4,4,0,0,0,3,0,16,4,0,3,0,0,0,0,9,52,113,68,62,82,51,21,446,5,12,3,8,9,7,3,41,10,13,12,10,5,0,0,45,16,22,16,11,13,5,3,82,63,134,80,75,100,54,26,533,117,131,84,45,60,33,20,491,4,0,6,4,0,0,0,13,188,266,164,126,160,90,48,1038
POA3076,53,102,55,41,56,17,7,328,3,3,0,0,3,3,0,19,3,6,12,6,5,6,0,35,105,171,117,89,141,64,34,719,14,18,12,9,3,4,3,51,13,21,12,9,9,6,3,64,21,36,24,11,12,8,4,119,126,202,144,100,152,68,36,836,161,172,84,58,65,35,14,589,3,0,0,3,0,0,0,7,293,373,223,160,219,109,55,1430
POA3078,10,19,15,7,17,11,4,85,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,22,41,30,13,48,22,23,191,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,45,30,13,52,22,26,202,14,9,10,0,8,0,6,44,0,0,0,0,0,0,0,7,37,51,36,14,58,21,29,245
POA3079,8,32,26,18,31,8,5,132,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,4,18,45,51,42,58,43,22,282,3,4,0,0,0,0,0,8,0,3,0,0,0,0,0,7,5,4,0,0,0,0,0,13,22,52,58,42,57,43,22,294,7,5,14,11,16,10,5,67,0,0,0,0,0,0,0,0,28,60,70,56,72,53,27,365
POA3081,25,38,27,14,33,19,6,157,3,0,0,0,0,0,0,11,4,3,0,0,0,3,3,13,45,65,46,36,58,38,30,309,0,11,5,0,3,6,0,24,9,14,10,6,0,0,0,32,9,22,8,10,3,6,0,58,48,88,52,41,62,45,32,365,94,94,59,34,38,31,12,369,0,0,3,0,0,0,0,4,147,175,119,76,100,75,46,744
POA3082,38,81,66,47,48,23,12,314,9,3,0,0,5,3,0,28,0,7,3,3,9,3,0,17,75,126,116,75,122,64,54,631,3,3,4,3,10,4,4,30,5,9,11,4,3,3,0,41,8,15,14,7,13,7,3,70,86,139,128,86,134,73,59,706,97,139,76,37,63,18,12,441,4,3,5,3,0,0,0,13,188,284,209,123,199,96,74,1160
POA3083,32,55,51,36,50,25,19,269,3,5,3,0,3,0,0,14,4,0,4,4,4,3,0,21,62,106,89,75,111,76,42,554,0,3,0,0,4,6,0,18,6,3,3,6,4,3,3,22,6,9,3,3,5,6,3,37,62,111,88,83,113,83,44,586,75,74,38,27,36,16,10,274,0,0,0,0,0,0,0,3,132,185,124,114,149,101,56,865
POA3084,16,57,50,25,38,26,13,222,0,0,0,3,0,3,0,9,0,0,0,3,0,3,0,3,32,96,94,66,94,84,43,504,0,0,0,5,0,3,0,18,0,3,5,0,3,5,3,16,3,8,6,6,5,9,3,37,38,105,94,67,100,91,44,538,34,43,17,8,14,11,8,140,0,0,0,0,0,0,0,0,76,148,112,77,117,105,55,686
POA3085,22,37,24,17,18,10,5,131,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,36,59,39,33,56,32,17,277,0,0,0,0,0,0,0,3,0,8,4,4,5,0,0,24,0,8,0,4,9,4,0,28,36,62,43,35,68,35,17,305,21,28,16,6,3,6,5,89,3,0,0,0,0,0,0,3,54,90,57,44,69,45,29,394
POA3086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3087,9,28,22,11,26,7,5,110,0,3,0,0,0,0,0,7,0,0,0,3,0,3,0,11,13,50,50,26,53,29,16,237,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,3,0,3,0,0,0,12,16,49,50,31,56,32,16,243,19,21,19,9,14,0,4,88,0,3,0,0,0,0,0,7,35,78,67,35,67,33,20,338
POA3088,32,103,54,43,54,26,17,323,3,0,3,0,3,3,0,14,0,0,0,0,0,0,0,5,47,174,106,86,134,80,51,683,0,3,3,0,7,3,0,15,3,12,8,7,4,0,0,33,3,12,8,6,9,6,0,44,54,184,121,97,146,85,51,731,69,73,30,19,23,11,0,225,0,0,3,0,5,0,0,6,122,260,151,123,170,92,50,962
POA3089,12,27,25,14,30,16,12,131,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,23,59,48,48,80,37,22,314,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6,0,0,0,0,0,14,28,66,46,51,80,36,22,326,17,17,12,9,5,8,7,69,0,0,0,0,0,0,0,3,40,87,59,55,82,44,28,398
POA3090,0,0,3,0,5,0,0,11,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,6,5,9,6,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,9,6,0,28,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,3,4,7,5,13,6,0,39
POA3091,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,16,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,3,4,8,0,0,0,27
POA3093,8,6,6,4,7,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,10,10,12,3,3,65,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,12,15,10,10,19,3,3,65,3,4,3,3,3,3,0,19,0,0,0,0,0,0,0,0,12,23,11,13,17,4,5,86
POA3094,7,35,22,21,18,12,5,117,0,3,0,0,0,0,0,8,0,0,0,0,3,3,0,7,15,59,50,38,48,27,14,246,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,4,0,0,0,0,0,5,0,6,15,59,53,38,45,26,14,254,14,24,6,9,7,4,5,66,0,0,0,0,0,0,0,0,26,81,58,42,56,27,22,324
POA3095,22,67,54,39,47,38,16,286,0,0,0,0,3,3,0,9,0,4,3,3,3,0,0,15,37,124,104,88,136,87,46,630,0,3,0,0,8,0,0,14,0,9,3,3,3,0,0,18,0,15,5,3,12,0,0,32,42,140,109,93,148,87,49,660,24,49,25,14,18,6,9,147,0,0,0,0,0,0,0,0,64,188,133,109,168,91,55,813
POA3096,3,5,5,3,7,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,7,11,10,6,6,55,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,3,5,0,0,0,0,6,5,11,12,11,10,6,6,59,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,15,13,11,10,6,6,65
POA3097,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,20,3,5,0,0,0,3,0,12,0,0,0,0,0,0,0,0,4,12,3,7,0,4,0,36
POA3099,0,23,22,19,10,3,0,75,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,25,30,23,25,13,6,125,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,3,25,27,23,22,13,6,132,3,12,4,0,3,3,3,26,4,3,0,0,0,0,0,8,10,42,35,29,26,21,7,163
POA3101,16,55,35,21,42,34,18,220,0,0,0,3,0,4,0,8,0,3,0,0,0,0,0,8,30,110,80,60,108,73,44,505,3,5,0,0,3,0,3,13,0,0,3,5,3,0,0,14,3,3,3,11,3,3,4,28,28,112,81,67,114,75,43,526,19,33,33,19,35,24,16,185,0,0,0,0,0,0,0,0,48,148,114,88,149,107,59,711
POA3102,3,21,12,8,16,10,7,74,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,31,24,21,35,23,15,160,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,7,3,39,31,21,39,30,14,172,10,3,4,4,4,3,4,37,0,0,0,0,0,0,0,0,13,45,33,24,41,30,21,208
POA3103,21,29,15,25,31,17,7,142,0,0,0,0,0,0,3,5,0,0,3,0,0,0,0,8,32,62,63,47,99,48,36,386,0,11,0,3,3,0,0,16,0,7,0,3,0,3,0,19,4,11,3,4,6,7,0,39,35,77,72,59,104,52,35,427,40,51,34,34,50,18,18,229,0,0,0,0,0,0,0,3,72,121,99,86,147,71,53,662
POA3104,12,26,42,28,45,36,18,207,0,0,3,0,0,3,0,8,0,4,0,0,3,3,0,13,21,65,84,74,109,89,44,497,3,0,4,3,6,5,3,19,0,3,0,3,5,0,0,21,4,4,5,3,14,7,4,38,28,67,93,85,121,94,47,535,28,43,49,28,52,19,22,237,0,0,0,0,0,0,0,4,48,111,143,110,172,111,69,771
POA3105,6,22,14,14,10,5,5,79,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,17,37,26,20,34,21,17,168,0,3,0,3,6,0,0,16,0,3,0,3,0,0,0,5,0,3,0,5,6,0,0,21,17,41,26,24,41,26,14,188,20,22,12,4,13,12,5,87,0,0,0,0,0,0,0,0,33,61,37,28,51,31,20,278
POA3106,7,29,21,16,27,12,14,123,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,26,71,47,33,57,34,29,294,6,3,0,0,0,0,0,15,0,0,3,6,4,5,0,16,4,6,5,3,4,5,0,31,32,75,52,33,67,36,28,326,15,29,10,12,18,13,7,108,0,0,0,0,0,3,0,5,47,103,58,55,80,53,42,436
POA3107,11,38,28,17,24,16,0,137,3,4,0,0,0,0,3,11,4,0,0,0,0,0,0,7,27,67,56,38,58,45,20,312,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,6,3,0,0,0,0,12,28,72,62,36,59,45,21,325,25,15,14,8,20,18,9,106,0,0,0,0,0,0,0,0,49,91,75,48,73,62,32,430
POA3108,9,35,18,17,30,27,17,162,3,0,0,0,0,4,0,6,0,0,0,0,0,0,0,3,23,73,44,52,81,65,40,375,0,10,0,3,0,3,3,14,0,3,3,4,6,3,3,26,0,11,3,3,6,8,5,44,29,84,41,62,90,73,42,414,40,40,25,18,36,23,18,203,0,0,0,0,0,0,0,5,64,126,71,84,125,96,62,626
POA3109,21,49,54,36,47,45,29,289,7,0,0,0,0,3,0,8,0,5,0,0,0,0,3,9,46,106,91,77,106,96,61,583,4,8,0,0,6,4,3,22,7,4,4,4,6,3,0,28,7,15,8,3,6,9,3,49,53,114,98,81,113,101,64,627,47,59,36,28,48,50,26,291,0,0,0,0,0,0,0,7,103,175,135,105,159,155,90,918
POA3111,10,32,25,11,19,7,3,117,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,19,53,48,29,48,25,21,236,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,12,23,49,52,30,48,30,22,243,16,21,19,3,15,13,10,102,0,0,0,0,0,0,0,0,41,73,63,34,64,42,30,343
POA3113,3,11,10,14,13,10,4,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,30,22,36,23,12,153,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,6,11,18,31,22,36,25,12,154,11,9,8,5,6,3,0,48,0,0,0,0,0,0,0,0,20,29,36,28,41,28,14,207
POA3114,0,6,10,4,4,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,8,7,7,6,5,8,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,8,4,8,0,47,0,4,0,0,6,0,0,10,0,0,0,0,0,0,0,0,5,13,12,8,13,8,3,61
POA3115,0,3,9,5,10,3,3,38,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,14,9,14,21,11,7,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,14,21,11,7,82,3,7,3,4,0,0,3,16,0,0,0,0,0,0,0,0,3,17,12,14,21,13,3,94
POA3116,10,29,24,17,26,13,11,130,4,0,0,0,3,0,0,7,0,0,0,0,0,0,0,3,22,38,40,31,62,35,17,246,0,3,5,0,4,0,0,11,0,4,0,0,0,0,0,9,0,8,6,0,4,0,0,20,22,43,48,31,67,37,17,262,34,20,17,9,16,4,0,101,0,0,0,0,0,0,0,0,53,70,63,43,82,37,17,361
POA3121,17,28,24,26,30,21,13,166,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,5,25,73,55,48,67,52,39,360,0,0,0,0,3,3,11,19,7,6,6,4,5,3,0,37,4,6,6,4,11,5,9,49,35,77,68,50,76,61,49,413,118,99,53,33,56,34,17,413,7,0,0,0,0,0,0,7,156,175,120,88,137,94,65,832
POA3122,9,29,22,9,34,21,10,133,3,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,16,61,37,27,77,47,21,285,0,5,3,0,3,0,0,14,3,7,0,0,3,0,0,13,4,5,3,0,3,5,3,24,16,66,42,25,77,48,26,315,18,24,19,13,16,8,10,104,0,0,0,0,0,0,0,4,35,92,61,40,97,54,42,416
POA3123,11,19,16,5,14,11,0,82,4,0,0,0,0,0,0,5,0,3,0,0,0,3,0,4,24,60,38,27,44,30,9,232,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,3,3,0,4,0,0,6,24,57,40,27,48,30,9,244,11,21,13,16,25,8,12,101,0,0,0,0,0,0,0,0,34,81,54,49,72,37,17,347
POA3124,21,45,35,22,43,16,17,215,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,41,91,61,53,96,67,46,447,0,3,0,3,0,0,0,8,0,5,0,0,7,9,5,18,0,13,3,3,7,5,5,32,41,100,63,53,104,69,52,478,22,34,19,11,24,25,12,143,0,0,0,0,0,0,0,6,62,135,79,63,128,97,58,625
POA3125,8,34,22,11,26,18,9,130,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,4,22,48,45,27,62,39,30,266,0,0,0,0,3,4,0,10,0,0,0,0,7,0,3,7,0,0,0,0,5,4,4,19,22,48,45,34,68,39,31,285,22,40,15,8,25,24,6,132,0,0,0,0,0,0,0,0,42,85,59,42,93,63,39,423
POA3126,0,11,16,11,16,15,4,67,3,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,10,24,27,24,33,26,16,159,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,3,0,4,0,0,0,0,0,8,10,30,27,27,36,27,16,167,3,13,15,11,13,3,4,61,0,0,0,0,0,0,0,0,12,43,39,30,45,33,24,228
POA3127,6,16,23,28,28,23,16,136,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,17,54,51,46,74,61,31,338,0,3,0,0,0,0,3,8,0,3,3,0,0,0,0,14,0,9,3,3,0,0,3,23,18,62,59,51,72,65,34,353,12,10,17,12,15,15,14,94,0,0,0,0,0,0,0,3,29,74,69,60,90,76,51,451
POA3128,13,40,39,16,39,29,8,172,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,3,23,70,70,35,79,57,39,377,4,3,0,0,3,3,4,22,0,0,4,0,0,0,0,11,8,9,6,3,7,6,4,37,31,74,78,38,88,64,41,410,22,41,23,25,55,22,9,197,3,0,0,0,0,0,0,7,60,119,102,65,144,81,49,612
POA3129,14,37,26,24,38,30,12,182,4,0,3,4,0,0,3,17,0,0,0,0,3,0,0,5,30,71,62,41,85,67,27,380,3,6,4,4,3,0,0,18,3,5,0,4,0,9,0,27,3,11,6,9,3,9,0,37,34,83,68,47,91,69,30,417,32,41,20,21,15,20,18,172,0,0,0,0,0,0,0,0,61,120,88,73,104,91,52,594
POA3130,27,81,59,45,72,36,19,336,4,0,0,0,0,0,0,7,0,0,0,0,3,4,0,9,45,133,114,94,161,99,51,695,0,3,0,3,12,3,3,22,0,4,0,4,3,7,0,18,6,10,0,4,12,6,4,42,47,136,116,99,171,109,54,740,52,55,32,42,51,18,19,257,0,0,0,0,0,0,0,6,101,193,150,136,225,124,68,1004
POA3131,24,47,37,33,39,21,13,215,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,5,40,83,81,66,91,51,43,457,0,3,3,0,3,0,0,9,0,3,3,6,7,7,3,24,0,4,4,8,7,4,3,35,40,85,90,71,99,57,44,494,41,47,30,22,32,20,8,199,0,0,0,0,0,0,3,3,86,136,115,93,134,78,56,695
POA3132,11,32,22,16,24,21,11,132,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,8,25,50,49,45,62,39,28,299,0,4,3,0,0,0,0,8,0,4,0,3,0,3,0,14,0,8,4,3,3,3,0,20,29,58,54,41,68,45,35,323,31,21,9,16,20,7,6,114,0,0,0,0,0,0,0,0,59,78,63,59,86,51,42,439
POA3133,13,42,30,29,49,26,10,200,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,28,90,72,67,128,67,37,488,0,0,8,3,3,0,0,16,10,5,0,3,0,0,0,23,10,5,8,5,9,0,3,38,40,94,81,73,133,68,39,528,32,35,26,14,20,21,16,158,0,0,0,0,0,0,0,0,70,128,108,87,154,84,53,682
POA3134,27,77,65,49,67,44,25,359,3,0,0,0,3,0,0,7,0,6,0,0,0,0,3,9,55,123,126,105,160,111,64,749,0,9,3,3,3,3,0,27,8,22,9,6,0,3,0,37,5,29,12,3,11,3,0,68,56,149,135,115,166,115,71,811,61,61,51,34,40,20,9,278,0,3,0,0,3,0,0,8,124,212,184,150,206,140,76,1099
POA3135,19,53,35,26,43,22,10,207,0,0,4,0,0,0,0,9,3,0,4,6,3,0,0,14,38,88,67,56,100,58,28,436,0,4,0,3,4,0,0,11,6,7,3,0,0,0,0,22,6,13,9,3,3,0,0,34,42,99,79,57,98,61,30,472,61,43,36,19,26,15,0,201,0,0,0,0,0,0,0,0,101,144,112,80,132,74,35,676
POA3136,88,156,104,87,106,51,22,608,6,4,7,5,10,3,0,31,4,5,5,3,3,0,3,18,125,268,207,169,259,139,77,1245,0,5,6,0,4,3,0,23,7,15,16,9,4,3,0,57,9,25,22,6,8,9,3,80,132,293,226,176,270,152,81,1324,146,124,65,34,58,25,13,464,0,3,0,0,4,0,0,9,276,420,299,205,326,173,96,1793
POA3137,34,46,36,23,26,13,4,187,0,3,3,3,5,0,0,16,0,0,0,0,3,0,0,6,37,83,74,54,62,35,22,370,0,0,3,3,0,3,3,10,0,6,0,4,3,0,0,12,0,4,3,3,3,3,3,20,38,92,77,59,67,37,21,394,42,58,31,19,30,11,4,181,3,0,0,0,0,0,0,3,86,142,102,77,99,49,25,578
POA3138,34,79,56,37,59,32,10,308,0,5,3,0,3,0,0,17,0,5,4,0,0,0,0,11,59,131,119,75,140,63,26,605,3,3,0,0,3,3,0,16,4,10,6,7,5,0,0,32,5,10,10,7,9,3,0,50,64,149,125,82,150,67,26,656,79,76,31,27,38,14,6,272,0,0,0,0,0,0,0,3,147,221,160,110,185,86,31,933
POA3139,27,65,44,24,43,13,0,219,0,3,0,4,4,0,0,15,3,0,0,0,0,0,0,7,40,96,72,52,75,33,9,374,0,3,0,0,0,0,0,4,4,5,5,3,4,0,0,27,4,10,6,3,4,0,0,31,48,105,78,54,82,31,9,402,43,48,32,14,15,6,3,153,0,0,0,0,0,0,0,4,89,151,108,67,98,37,14,561
POA3140,26,70,50,32,46,22,10,258,5,3,0,0,0,0,0,12,0,3,3,0,0,0,0,5,53,122,80,65,112,59,13,505,0,5,3,3,3,0,0,19,3,6,7,0,0,0,0,22,7,12,13,7,3,0,3,43,59,135,95,70,120,57,15,551,53,47,25,18,15,15,4,183,0,0,0,0,0,0,0,0,113,190,117,89,142,70,22,737
POA3141,9,25,10,9,17,10,15,99,4,0,0,0,0,0,0,9,0,0,0,0,3,0,0,5,32,60,25,27,44,42,36,269,3,3,0,0,0,4,0,10,0,7,7,0,3,0,6,19,3,8,3,0,3,4,6,27,37,67,29,29,52,53,36,293,42,59,26,25,29,16,9,203,0,0,0,0,0,0,0,0,77,119,59,49,77,65,48,505
POA3142,7,19,14,4,9,11,14,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,48,38,27,48,26,25,220,0,4,0,0,0,0,0,3,0,0,3,0,0,0,0,11,0,3,3,3,0,0,0,12,13,54,42,26,45,26,25,235,15,23,15,9,16,19,17,109,0,3,0,0,0,0,0,7,27,77,56,41,62,42,44,348
